C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,0.0,0.0,0.0,6511,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6512,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6513,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6514,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6515,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6516,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6517,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6518,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6519,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6520,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6521,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6522,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6523,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6524,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6525,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6526,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6527,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6528,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6529,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6530,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6531,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6532,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6533,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6534,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6535,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6536,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6537,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6538,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6539,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6540,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6541,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6542,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6543,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6544,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6545,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6546,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6547,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6548,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6549,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6550,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6551,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6552,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6553,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6554,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6555,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6556,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6557,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6558,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6559,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6560,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6561,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6562,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6563,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6564,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6565,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6566,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6567,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6568,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6569,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6570,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6571,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6572,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6573,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6574,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6575,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6576,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6577,0.0,0.0,0.0,27561.64970755275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6578,0.0,0.0,0.0,26870.763119552757,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6579,0.0,0.0,0.0,26146.487644552755,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6580,0.0,0.0,0.0,25422.21216955275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6581,0.0,0.0,0.0,25422.21216955275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6582,0.0,0.0,0.0,24697.93669455275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6583,0.0,0.0,0.0,24697.93669455275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6584,0.0,0.0,0.0,24697.93669455275,0.0,0.0
0.0,0.0,0.0,451.1322900000001,0.0,0.0,6585,0.0,0.0,0.0,25058.842526552748,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6586,0.0,0.0,0.0,25522.378830552752,0.0,0.0
0.0,0.0,0.0,557.3310400000006,0.0,0.0,6587,0.0,0.0,0.0,25968.243662552748,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6588,0.0,0.0,0.0,26431.77996655275,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6589,0.0,0.0,0.0,26895.316270552754,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6590,0.0,0.0,0.0,27358.85257455275,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6591,0.0,0.0,0.0,27822.388878552756,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6592,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6593,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6594,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6595,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6596,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6597,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6598,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6599,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6600,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6601,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6602,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6603,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6604,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6605,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6606,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6607,0.0,0.0,0.0,27821.456006552762,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6608,0.0,0.0,0.0,27821.456006552762,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6609,0.0,0.0,0.0,27821.456006552762,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6610,0.0,0.0,0.0,27097.18053155276,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6611,0.0,0.0,0.0,26372.905056552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6612,0.0,0.0,0.0,25648.629581552756,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6613,0.0,0.0,0.0,24924.35410655275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6614,0.0,0.0,0.0,24200.078631552748,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6615,0.0,0.0,0.0,23475.80315655275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6616,0.0,0.0,0.0,22751.527681552743,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6617,0.0,0.0,0.0,22027.252206552745,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6618,0.0,0.0,0.0,21302.97673155274,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6619,0.0,0.0,0.0,20578.701256552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6620,0.0,0.0,0.0,19854.425781552738,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6621,0.0,0.0,0.0,19359.792806552738,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6622,0.0,0.0,0.0,19359.792806552738,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6623,0.0,0.0,0.0,19359.792806552738,0.0,0.0
0.0,0.0,0.0,109.59710999999879,0.0,0.0,6624,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6625,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6626,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6627,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6628,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6629,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6630,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6631,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6632,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6633,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6634,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6635,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6636,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6637,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6638,0.0,0.0,0.0,19447.470494552737,0.0,0.0
0.0,0.0,0.0,271.01920999999857,0.0,0.0,6639,0.0,0.0,0.0,19664.285862552737,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6640,0.0,0.0,0.0,20127.822166552738,0.0,0.0
0.0,0.0,0.0,254.02740999999983,0.0,0.0,6641,0.0,0.0,0.0,20331.044094552737,0.0,0.0
0.0,0.0,0.0,276.96633999999835,0.0,0.0,6642,0.0,0.0,0.0,20552.617166552736,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6643,0.0,0.0,0.0,21016.15347055274,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6644,0.0,0.0,0.0,21479.68977455274,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6645,0.0,0.0,0.0,21943.22607855274,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6646,0.0,0.0,0.0,22406.76238255274,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6647,0.0,0.0,0.0,22870.298686552742,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6648,0.0,0.0,0.0,23333.834990552747,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6649,0.0,0.0,0.0,23797.371294552744,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6650,0.0,0.0,0.0,24260.907598552745,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6651,0.0,0.0,0.0,24724.443902552746,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6652,0.0,0.0,0.0,25187.980206552747,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6653,0.0,0.0,0.0,25651.516510552752,0.0,0.0
0.0,0.0,0.0,579.4203800000022,0.0,0.0,6654,0.0,0.0,0.0,26115.05281455275,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6655,0.0,0.0,0.0,26578.589118552754,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6656,0.0,0.0,0.0,27042.125422552752,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6657,0.0,0.0,0.0,27505.661726552753,0.0,0.0
0.0,0.0,0.0,579.4203800000023,0.0,0.0,6658,0.0,0.0,0.0,27969.198030552758,0.0,0.0
0.0,0.0,0.0,395.90893999999844,0.0,0.0,6659,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6660,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6661,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6662,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6663,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6664,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6665,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6666,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6667,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6668,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6669,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6670,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6671,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6672,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6673,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6674,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6675,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6676,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6677,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6678,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6679,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6680,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6681,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6682,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6683,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6684,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6685,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6686,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6687,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6688,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6689,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6690,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6691,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6692,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6693,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6694,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6695,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6696,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6697,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6698,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6699,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6700,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6701,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6702,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6703,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6704,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6705,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6706,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6707,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6708,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6709,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6710,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6711,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6712,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6713,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6714,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6715,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6716,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6717,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6718,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6719,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6720,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6721,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6722,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6723,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6724,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6725,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6726,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6727,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6728,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6729,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6730,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6731,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6732,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6733,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6734,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6735,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6736,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6737,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6738,0.0,0.0,0.0,28285.925182552754,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6739,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6740,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6741,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6742,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6743,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6744,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6745,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6746,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6747,0.0,0.0,0.0,27588.004138413264,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6748,0.0,0.0,0.0,26863.728663413258,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6749,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6750,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6751,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6752,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6753,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6754,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6755,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6756,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6757,0.0,0.0,0.0,26139.45318841326,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6758,0.0,0.0,0.0,25806.18678077386,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6759,0.0,0.0,0.0,25081.911305773858,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6760,0.0,0.0,0.0,24357.635830773852,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6761,0.0,0.0,0.0,23633.360355773853,0.0,0.0
